Name,Price,24H change,24H volume,Market Cap
Bitcoin,"$21,879.55",-0.78%,$21.56 B,$422.02 B
Ethereum,"$1,566.50",-0.81%,$6.92 B,$188.4 B
Tether,$1.02,+0.01%,$30.35 B,$71.74 B
BNB,$293.10,+1.33%,$438.39 M,$45.75 B
USD Coin,$1.00,+0.04%,$3.08 B,$43.43 B
XRP,$0.3955,+3.76%,$1.91 B,$19.86 B
Cardano,$0.3216,-1.69%,$297.31 M,$11 B
Dogecoin,$0.07307,-1.43%,$332.35 M,$9.53 B
Polygon,$1.07,-5.79%,$560.66 M,$9.22 B
Binance USD,$1.01,+0.46%,$4.76 B,$8.44 B
Solana,$18.89,-3.19%,$595.52 M,$7.13 B
Polkadot,$5.70,-1.27%,$276.33 M,$6.55 B
Shiba Inu,$0.00001124,+1.97%,$434.82 M,$6.03 B
Litecoin,$84.21,-2.02%,$487.78 M,$6.01 B
TRON,$0.06566,-0.82%,$217.63 M,$6 B
Dai,$1.01,-0.07%,$150.09 M,$5.16 B
Avalanche,$15.60,-3.71%,$167.75 M,$4.99 B
Uniswap,$6.24,-4.17%,$81.82 M,$4.68 B
Chainlink,$6.71,-2.70%,$284.54 M,$3.42 B
UNUS SED LEO,$3.36,-0.38%,"$841,789",$3.21 B
Cosmos,$11.04,-5.56%,$133.42 M,$3.11 B
Toncoin,$2.39,+7.21%,$52.4 M,$2.92 B
Monero,$146.41,-2.24%,$76.54 M,$2.67 B
OKB,$42.85,+4.72%,$56.18 M,$2.57 B
Ethereum Classic,$18.61,-2.45%,$131.92 M,$2.57 B
Filecoin,$5.98,+0.29%,$319.11 M,$2.34 B
Bitcoin Cash,$119.40,-1.99%,$172.32 M,$2.27 B
Stellar,$0.08298,+0.60%,$76.5 M,$2.17 B
Lido DAO Token,$2.40,-6.19%,$174.14 M,$2.01 B
Aptos,$10.81,-2.13%,$265.54 M,$1.73 B
Hedera,$0.06259,-1.01%,$30.71 M,$1.71 B
Cronos,$0.06789,-2.42%,$13.44 M,$1.7 B
ApeCoin,$4.45,-4.84%,$93.78 M,$1.62 B
NEAR Protocol,$1.89,-3.15%,$103.73 M,$1.62 B
VeChain,$0.02252,-3.55%,$44.25 M,$1.59 B
Internet Computer,$5.21,-1.82%,$38.25 M,$1.5 B
Algorand,$0.2061,-3.47%,$60.89 M,$1.45 B
Quant,$118.10,-2.99%,$22 M,$1.4 B
TrueUSD,$1.01,+0.09%,$27.57 M,$1.29 B
EOS,$1.17,+0.44%,$169.51 M,$1.25 B
The Graph,$0.1268,-5.81%,$54.31 M,$1.1 B
BitDAO,$0.5035,-2.97%,$7.65 M,$1.05 B
Frax,$0.9973,+0.18%,$11.52 M,$1.04 B
Aave,$74.33,-0.92%,$63.15 M,$1.03 B
Decentraland,$0.5603,-4.24%,$72.08 M,$1.02 B
Fantom,$0.368,-5.85%,$192.26 M,$1 B
MultiversX,$40.18,-3.54%,$31.08 M,$994.11 M
Flow,$0.9691,-3.65%,$35.72 M,$983.23 M
Tezos,$1.07,-2.25%,$25.14 M,$968.78 M
Theta Network,$0.9865,-0.71%,$16.2 M,$968.39 M
